1077,STANDARD GLOBAL COMMUNICATIONS P/L,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,80141500
1078,THE LAW SOCIETY OF ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,Legal,Low,80101500
1079,MOSESLY CONSULTANTS P/L1,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,CorpFinance,Low,84111802
1080,ASSOCIATED NEWSPAPERS OF ZWE,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Newspaper Publishers,Others,Low,55101504
1081,GLOBAL CREDIT RATING,Zimbabwe,Africa & Middle East,GBR,Professional Services,FINANCE,CorpFinance,Low,84111802
1082,GLOBAL CREDIT RATING,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,CorpFinance,Low,84111802
1083,HIGHMEL WATER DELIVERIES,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,56111504
1084,JOCK SMITH SPARYPAINTERS,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Facilities Support Services,Others,Low,31211501
1085,NSSA OSH,Zimbabwe,Africa & Middle East,ZWE,Property,Commercial and Institutional Building Construction,R&M,Low,81101500
1086,MGB ROOFING PVT LTD,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,80101504
1087,BLIND DECOR,Zimbabwe,Africa & Middle East,ZWE,Property,Commercial and Institutional Building Construction,R&M,Low,81101500
1088,OK Zimbabwe Limited,Zimbabwe,Africa & Middle East,ZWE,Uncategorised,Retail sale of carpets~ rugs~ wall and floor coverings in specialized stores,Uncategorised,Low,52121500
1089,CLOVER LEAF PANEL BEATERS,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Others,Low,53121801
1090,BORROWDALE BROOK HOME OWNER ASS,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Low,80100000
1091,FIRST BRANDS P/L,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,56111504
1092,PEARCE MCCOMISH,Zimbabwe,Africa & Middle East,ZWE,Professional Services,All Other Professional~ Scientific~ and Technical Services,Others,Medium,80101500
1093,OKMART HILLSIDE,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Medium,56111504
1094,FIRST MUTUAL LIFE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,43231505
1095,01 SYSTEMS WLL,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWAppli,Low,43230000
1096,RIO DOURO CONSTRUCTION,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Medium,80101504
1097,CORRY AND MUKUYU QUANTITY SURVEYORS,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Medium,80101504
1098,ZIMIND PUBLISHERS PVT LTD,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,Newspapers&Periodicals,Low,55101504
1099,ANGLICAN CATHEDRAL,Zimbabwe,Africa & Middle East,ZWE,Property,Parking Lots and Garages,Parking,Low,80101504
1100,QUANTUM MEDIA,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Medium,80101508
1101,CITYOF BYO,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,84111802
1102,WEBBER AIR ENGINEERING T A PROMECS,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,80101504
1103,Kuyenzeka Engineering (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,80101504
1104,ZIMBABWE ONLINE P/L,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-PersEquip,Medium,43191609
1105,CRUSADER REAL ESTATE CONSULTANCY PRIVATE,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,CrAgencies,Low,80101500
1106,HWANGE COLLIERY COMPANY LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Low,80100000
1107,PRINTFLOW,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,PrintProdt,Low,82121500
1108,WEST UC LIMITED,Zimbabwe,Africa & Middle East,GBR,Technology,TECHNOLOGY,T&N-VoDtBilling,Low,81161703
1109,WEST UC LIMITED,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,Low,81161703
1110,CROSHIRE INVESTMENTS T/A CELLONE ELECTRO,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,Low,81161703
1111,ZIMBABWE TOURISM AUTHORITY,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Low,80100000
1112,WILLIAM SMITH AND GOUROCK,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Others,Low,0
1113,MUKUTE CONSTRUCTION (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Commercial and Institutional Building Construction,R&M,Medium,0
1114,TIMELESS PHOTOS (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,PrintProdt,Low,0
1115,TRAVERZE TRAVEL (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Hotel&Servapart,Low,0
1116,VALCOL EMPLOYMENT BEREAU (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,PayRollServ,Medium,0
1117,NILESTROOM ENTEPRISES (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,OffSup,Low,0
1118,INTEGRATED PROPERTIES (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Management,Low,0
1119,C C SALES PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Management,Low,0
1120,MAWERE & SIBANDA LEGAL PRACTITIONER,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Management consultancy activities,MgtConsult,Low,0
1121,DANZIGER AND PARTNERS LEGAL PRACTITIONER,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,Legal,Low,0
1122,SCANLEN & HOLDERNESS,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,Legal,Low,0
1123,TENDAI BITI LAW,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,Legal,Low,0
1124,MUSHIRI S M,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,0
1125,TRACK IT (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,0
1126,VASCO DATA SECURITY NV/SA,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWAppli,Low,0
1127,PLUMLAKE INCORPORATED (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Furn&equip,Low,0
